id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
1,"Palma areca",Palma,Juvenil,1.34,0,0.05,0.05,0.12,0.2,0.5,1.7,1.2,2.8,0,10,0,0,0,"Alto (67 - 100%)",Regular,873684,1057760
2,"Chorro de oro, Lluvia de oro",Arbol,Maduro,1.02,0.74,0.24,0.24,0,0,2.5,6,3.5,4.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873686,1057640
3,"Chorro de oro, Lluvia de oro",Arbol,Maduro,1.28,0,0.19,0.19,0.47,0.73,3,7,4,8,0,3,0,0,0,"Alto (67 - 100%)",Regular,873684,1057650
4,"Chorro de oro, Lluvia de oro",Arbol,Juvenil,0.39,0.29,0.09,0.09,0,0,2.7,6,3.3,2.8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873691,1057650
5,"Dracaena roja","Planta arbustiva",Maduro,0.55,0.37,0.12,0.12,0,0,3.2,7,3.8,2.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873688,1057650
6,"Clemon, Algodon de arbol",Arbol,Maduro,0.72,0.56,0.18,0.18,0,0,3.5,6.5,3,5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873692,1057650
7,"Limon swinglea, Swinglea",Arbol,Maduro,1.4,0,0.25,0.25,0.77,0.8,5,8.5,3.5,10,0,2,0,0,0,"Alto (67 - 100%)",Regular,873690,1057660
8,Cheflera,Arbol,Maduro,0.51,0.31,0.1,0.1,0,0,2,5.5,3.5,1.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873689,1057660
9,"Limon swinglea, Swinglea",Arbol,Maduro,1.3,0,0.26,0.26,0.81,0.83,5,9,4,11,0,2,0,0,0,"Alto (67 - 100%)",Regular,873691,1057660
10,"Palma de yuca",Palma,Longevo,5.2,0,0.13,0.13,0.34,0.5,3.4,7,3.6,5,0,5,0,0,0,"Medio (34 - 66%)",Regular,873692,1057650
11,Guanabano,Arbol,Maduro,0.7,0,0.1,0.1,0.19,0.42,2.8,5.2,2.4,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873694,1057650
12,"Acacia robinia",Arbol,Maduro,1.52,0,0.23,0.23,0.68,0.78,6,8.5,2.5,11,0,3,0,0,0,"Alto (67 - 100%)",Regular,873697,1057650
13,"Chorro de oro, Lluvia de oro",Arbol,Maduro,0.9,0,0.12,0.12,0.3,0.44,2,6.5,4.5,2.8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873697,1057650
14,Jagua,Arbol,Maduro,0.79,0.63,0.2,0.2,0,0,6,10,4,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873701,1057650
