ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;Norte;Este
1;0101G11264461;101;Terron Colorado;1;264461;G24 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Juvenil        ;N/A;Piso duro           ;Si;Anden                              ;1.34;0;0.05;0.05;0.12;0.2;0.5;1.7;1.2;2.8;0;Ninguna;N/A;Fuste Polifurcado;10;Subterranea    ;Si;Irregular      ;Alto (67 - 100%)    ;Regular ;873683,99;1057756,06
2;0101G12259648;101;Terron Colorado;1;259648;G12 ;Chorro de oro, Lluvia de oro;Cassia fistula;Cassia fistula (Chorro de oro, Lluvia de oro);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;Si;Parque Urbano                      ;1.02;0.74;0.24;0.24;0;0;2.5;6;3.5;4.5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;Si;Globosa        ;Alto (67 - 100%)    ;Regular ;873686,46;1057642,84
3;0101G12259649;101;Terron Colorado;1;259649;G12 ;Chorro de oro, Lluvia de oro;Cassia fistula;Cassia fistula (Chorro de oro, Lluvia de oro);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;Si;Parque Urbano                      ;1.28;0;0.19;0.19;0.47;0.73;3;7;4;8;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873684,26;1057647,13
4;0101G12259650;101;Terron Colorado;1;259650;G12 ;Chorro de oro, Lluvia de oro;Cassia fistula;Cassia fistula (Chorro de oro, Lluvia de oro);Fabaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.39;0.29;0.09;0.09;0;0;2.7;6;3.3;2.8;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873691,12;1057649,21
5;0101G12259651;101;Terron Colorado;1;259651;G12 ;Dracaena roja;Dracaena fragrans;Dracaena fragrans (Dracaena roja);Asparagaceae;Planta arbustiva;Maduro         ;N/A;Piso duro           ;Si;Parque Urbano                      ;0.55;0.37;0.12;0.12;0;0;3.2;7;3.8;2.5;10;Hacia la via;N/A;Fuste Unico;1;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873688,04;1057653,17
6;0101G12259652;101;Terron Colorado;1;259652;G12 ;Clemon, Algodon de arbol;Thespesia populnea;Thespesia populnea (Clemon, Algodon de arbol);Malvaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.72;0.56;0.18;0.18;0;0;3.5;6.5;3;5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873692,16;1057653,71
7;0101G12259653;101;Terron Colorado;1;259653;G12 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.4;0;0.25;0.25;0.77;0.8;5;8.5;3.5;10;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873690,47;1057655,45
8;0101G12259654;101;Terron Colorado;1;259654;G12 ;Cheflera;Schefflera actinophylla;Schefflera actinophylla (Cheflera);Araliaceae;Arbol;Maduro         ;N/A;Piso duro           ;No;Parque Urbano                      ;0.51;0.31;0.1;0.1;0;0;2;5.5;3.5;1.5;20;Otro;parque;Fuste Unico;1;Subterranea    ;No;Columnar       ;Medio (34 - 66%)    ;Regular ;873689,33;1057657,47
9;0101G12259655;101;Terron Colorado;1;259655;G12 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.3;0;0.26;0.26;0.81;0.83;5;9;4;11;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873690,85;1057658,04
10;0101G12259656;101;Terron Colorado;1;259656;G12 ;Palma de yuca;Yucca filifera;Yucca filifera (Palma de yuca);Asparagaceae;Palma;Longevo        ;N/A;Cesped              ;No;Parque Urbano                      ;5.2;0;0.13;0.13;0.34;0.5;3.4;7;3.6;5;20;Otro;Parque;Fuste Polifurcado;5;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873692,31;1057651,03
11;0101G12259657;101;Terron Colorado;1;259657;G12 ;Guanabano;Annona muricata;Annona muricata (Guanabano);Annonaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.7;0;0.1;0.1;0.19;0.42;2.8;5.2;2.4;6;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873694,01;1057648,87
12;0101G12259658;101;Terron Colorado;1;259658;G12 ;Acacia robinia;Caesalpinia peltophoroides;Caesalpinia peltophoroides (Acacia robinia);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.52;0;0.23;0.23;0.68;0.78;6;8.5;2.5;11;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;Si;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873696,71;1057650,1
13;0101G12259659;101;Terron Colorado;1;259659;G12 ;Chorro de oro, Lluvia de oro;Cassia fistula;Cassia fistula (Chorro de oro, Lluvia de oro);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.9;0;0.12;0.12;0.3;0.44;2;6.5;4.5;2.8;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873696,69;1057653,43
14;0101G12259660;101;Terron Colorado;1;259660;G12 ;Jagua;Genipa americana;Genipa americana (Jagua);Rubiaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.79;0.63;0.2;0.2;0;0;6;10;4;7;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873701,12;1057654,36
15;0101G12259661;101;Terron Colorado;1;259661;G12 ;Palma de yuca;Yucca filifera;Yucca filifera (Palma de yuca);Asparagaceae;Palma;Longevo        ;N/A;Cesped              ;No;Parque Urbano                      ;1.1;0.62;0.2;0.2;0;0;1.6;4;2.4;1.2;5;Otro;Parque;Fuste Unico;1;Subterranea    ;No;Columnar       ;Medio (34 - 66%)    ;Regular ;873701,09;1057653,89
16;0101G12259662;101;Terron Colorado;1;259662;G12 ;Naranjo;Citrus aurantium;Citrus aurantium (Naranjo);Rutaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.74;0;0.11;0.11;0.32;0.35;3;6;3;5;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;Si;Globosa        ;Bajo (0 - 33%)      ;Regular ;873700,59;1057655,04
17;0101G12259663;101;Terron Colorado;1;259663;G12 ;Cojon de cabrito, Pepa de cabra, Cajeto, Enebro;Cascabela thevetia;Cascabela thevetia (Cojon de cabrito, Pepa de cabra, Cajeto, Enebro);Apocynaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.77;0;0.12;0.12;0.33;0.4;2.8;5;2.2;6.5;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;Si;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873703,3;1057666,41
18;0101G12259664;101;Terron Colorado;1;259664;G12 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.33;0;0.26;0.26;0.78;0.85;5;9;4;7;10;Direccion de la via;N/A;Fuste Polifurcado;2;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873691,45;1057662,55
19;0101G12259665;101;Terron Colorado;1;259665;G12 ;Guayacan carrapo;Bulnesia carrapo;Bulnesia carrapo (Guayacan carrapo);Zigophyllacae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.13;0;0.23;0.23;0.63;0.84;6;9.5;3.5;8;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Globosa        ;Alto (67 - 100%)    ;Regular ;873696,75;1057665,09
20;0101G12259666;101;Terron Colorado;1;259666;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Longevo        ;N/A;Piso duro           ;Si;Parque Urbano                      ;1.9;0;0.08;0.08;0.2;0.28;5;7.5;2.5;6.5;10;Hacia la via;N/A;Fuste Polifurcado;7;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873696,6;1057668,38
21;0101G12259667;101;Terron Colorado;1;259667;G12 ;Acacia robinia;Caesalpinia peltophoroides;Caesalpinia peltophoroides (Acacia robinia);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.85;0;0.2;0.2;0.49;0.75;5;8.5;3.5;8;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Sano    ;873709,94;1057667,47
22;0101G12263628;101;Terron Colorado;1;263628;G12 ;Acacia robinia;Caesalpinia peltophoroides;Caesalpinia peltophoroides (Acacia robinia);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.98;0.78;0.25;0.25;0;0;4;6;2;5;10;Otro;parque;Fuste Unico;1;Subterranea    ;Si;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873708,39;1057660,66
