,nombre_comun,pb,pap,dap,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,tallos
0,1,1.45,0.0,0.18,0.45,0.71,5.0,9.0,4.0,8.0,3
1,2,1.0,0.0,0.06,0.18,0.2,3.5,6.6,3.1,5.0,4
2,1,1.42,0.0,0.19,0.54,0.68,5.5,10.5,5.0,7.0,2
3,0,2.67,1.3,0.41,0.0,0.0,7.0,10.0,3.0,5.12,1
4,0,2.9,2.1,0.67,0.0,0.0,7.0,10.0,3.0,10.0,1
5,0,1.16,1.42,0.45,0.0,0.0,12.0,14.0,2.0,6.0,1
6,0,2.34,1.5,0.48,0.0,0.0,11.0,14.0,3.0,4.0,1
7,0,1.7,1.33,0.42,0.0,0.0,10.0,13.0,3.0,5.0,1
8,0,1.7,1.2,0.38,0.0,0.0,9.0,13.0,4.0,4.0,1
9,2,1.39,0.0,0.05,0.12,0.22,1.5,4.0,2.5,3.5,7
10,2,2.18,0.0,0.06,0.14,0.25,1.1,6.0,4.9,3.0,8
11,2,2.0,0.0,0.06,0.15,0.21,1.2,5.5,4.3,4.0,10
12,2,1.48,0.0,0.07,0.16,0.3,5.0,7.0,2.0,4.0,3
13,2,2.3,0.0,0.07,0.14,0.27,4.0,6.0,2.0,5.0,7
14,2,1.73,0.0,0.07,0.15,0.27,2.5,5.0,2.5,3.0,6
15,2,2.7,0.0,0.06,0.15,0.24,3.0,6.0,3.0,5.0,12
16,2,1.59,0.0,0.13,0.33,0.5,5.0,7.0,2.0,3.0,3
17,1,1.07,0.0,0.21,0.33,0.99,2.0,6.0,4.0,3.0,5
18,1,0.66,0.0,0.09,0.23,0.33,2.0,6.0,4.0,3.0,5
19,1,1.5,0.0,0.16,0.4,0.62,1.8,6.5,4.7,4.0,5
20,1,1.46,0.0,0.13,0.32,0.5,2.0,6.0,4.0,3.0,5
21,1,1.67,0.0,0.22,0.42,0.99,2.0,6.0,4.0,3.5,7
22,2,2.4,0.2,0.06,0.0,0.0,1.2,2.7,1.5,2.6,1
23,0,1.3,0.8,0.25,0.0,0.0,4.0,7.0,3.0,6.0,1
24,0,1.3,0.8,0.25,0.0,0.0,4.0,7.0,3.0,6.0,1
25,0,1.15,1.12,0.36,0.0,0.0,2.5,4.0,1.5,1.0,1
26,1,0.75,0.6,0.19,0.0,0.0,4.0,7.0,3.0,6.5,1
27,1,0.68,0.65,0.21,0.0,0.0,6.0,9.0,3.0,10.0,1
28,1,0.77,0.0,0.22,0.65,0.72,4.0,7.0,3.0,6.5,2
29,2,1.2,0.0,0.09,0.24,0.3,2.0,3.5,1.5,3.0,2
30,0,0.6,0.42,0.13,0.0,0.0,1.7,3.2,1.5,2.2,1
31,0,0.6,0.4,0.13,0.0,0.0,1.7,3.2,1.5,2.2,1
32,0,0.6,0.4,0.13,0.0,0.0,1.7,3.2,1.5,2.2,1
33,0,2.0,1.4,0.45,0.0,0.0,9.0,12.0,3.0,4.5,1
34,0,2.2,1.65,0.53,0.0,0.0,8.0,11.0,3.0,5.0,1
35,0,2.3,1.4,0.45,0.0,0.0,6.0,9.0,3.0,9.0,1
36,0,1.9,1.3,0.41,0.0,0.0,9.0,13.0,4.0,3.0,1
37,0,1.9,1.55,0.49,0.0,0.0,10.0,13.0,3.0,3.5,1
38,0,2.0,1.4,0.45,0.0,0.0,7.0,10.0,3.0,4.5,1
39,0,1.8,1.45,0.46,0.0,0.0,6.0,8.0,2.0,8.0,1
40,0,1.9,1.05,0.33,0.0,0.0,8.0,11.0,3.0,3.5,1
41,0,1.5,1.26,0.4,0.0,0.0,4.0,7.0,3.0,5.0,1
42,0,2.18,1.5,0.48,0.0,0.0,10.0,13.0,3.0,4.0,1
43,0,2.23,1.7,0.54,0.0,0.0,8.0,11.0,3.0,4.5,1
44,0,1.52,1.35,0.43,0.0,0.0,8.0,10.5,2.5,5.0,1
45,0,1.6,1.2,0.38,0.0,0.0,10.0,14.0,4.0,6.0,1
46,0,1.75,0.96,0.31,0.0,0.0,8.0,11.0,3.0,7.0,1
47,1,0.9,0.6,0.19,0.0,0.0,6.0,8.0,2.0,5.0,1
48,1,1.28,0.93,0.3,0.0,0.0,8.0,11.0,3.0,5.5,1
49,1,1.0,0.65,0.21,0.0,0.0,5.0,7.5,2.5,5.0,1
50,0,1.2,0.8,0.25,0.0,0.0,8.0,12.0,4.0,5.0,1
51,2,2.68,0.0,0.07,0.18,0.29,4.5,7.0,2.5,7.5,16
52,2,1.89,0.0,0.08,0.21,0.28,2.5,4.0,1.5,4.0,10
53,2,1.66,0.0,0.09,0.18,0.36,2.8,5.0,2.2,5.0,4
54,2,1.7,0.0,0.08,0.2,0.3,4.0,7.0,3.0,5.0,4
55,2,1.73,0.0,0.09,0.21,0.33,5.0,6.0,1.0,5.5,7
56,0,2.2,1.43,0.46,0.0,0.0,6.0,8.0,2.0,4.0,1
57,0,2.8,1.6,0.51,0.0,0.0,11.0,15.0,4.0,5.0,1
58,0,2.24,1.5,0.48,0.0,0.0,10.0,14.0,4.0,5.0,1
59,0,2.1,1.4,0.45,0.0,0.0,9.0,12.0,3.0,5.0,1
60,0,1.8,1.3,0.41,0.0,0.0,10.0,13.0,3.0,4.5,1
61,0,2.0,1.7,0.54,0.0,0.0,9.0,12.0,3.0,6.0,1
62,1,1.2,1.0,0.32,0.0,0.0,7.0,9.0,2.0,5.2,1
63,1,1.1,0.9,0.29,0.0,0.0,8.0,11.0,3.0,4.5,1
64,1,1.0,0.0,0.21,0.4,0.9,7.0,9.0,2.0,9.0,2
65,1,0.84,0.65,0.21,0.0,0.0,7.0,9.0,2.0,7.0,1
66,1,1.1,0.88,0.28,0.0,0.0,6.0,11.5,5.5,10.0,1
67,1,0.9,0.7,0.22,0.0,0.0,8.0,9.0,1.0,6.0,1
68,1,1.3,1.1,0.35,0.0,0.0,8.0,10.0,2.0,7.0,1
69,0,2.44,1.5,0.48,0.0,0.0,12.0,16.0,4.0,5.5,1
70,0,1.5,1.0,0.32,0.0,0.0,11.0,14.0,3.0,2.5,1
71,0,2.3,1.55,0.49,0.0,0.0,12.0,16.0,4.0,5.0,1
72,0,1.3,0.9,0.29,0.0,0.0,10.0,13.0,3.0,4.5,1
73,0,1.4,1.1,0.35,0.0,0.0,11.0,14.0,3.0,6.0,1
74,2,1.75,0.0,0.09,0.25,0.32,3.1,4.6,1.5,6.0,6
75,0,2.15,1.48,0.47,0.0,0.0,12.0,16.0,4.0,8.0,1
76,0,2.0,1.32,0.42,0.0,0.0,10.0,14.0,4.0,6.0,1
77,2,3.16,0.0,0.09,0.25,0.33,2.8,4.6,1.8,6.0,2
78,2,1.24,0.0,0.07,0.17,0.24,6.5,7.5,1.0,3.5,6
79,0,1.5,1.06,0.34,0.0,0.0,6.0,9.0,3.0,6.15,1
80,0,1.74,1.18,0.38,0.0,0.0,5.5,8.0,2.5,5.0,1
81,0,1.4,1.0,0.32,0.0,0.0,8.0,10.0,2.0,5.5,1
82,2,2.44,0.0,0.07,0.16,0.29,3.0,4.2,1.2,4.5,13
83,2,2.26,0.0,0.05,0.14,0.17,5.0,7.0,2.0,5.6,7
84,0,2.56,1.67,0.53,0.0,0.0,12.0,16.0,4.0,10.0,1
85,0,2.0,1.31,0.42,0.0,0.0,7.0,9.5,2.5,5.3,1
86,0,2.09,1.52,0.48,0.0,0.0,8.0,10.5,2.5,7.0,1
87,2,1.2,0.0,0.06,0.18,0.2,2.0,3.5,1.5,3.2,3
88,2,1.1,0.0,0.09,0.2,0.35,4.0,6.0,2.0,2.5,2
89,0,1.6,1.28,0.41,0.0,0.0,8.0,11.0,3.0,6.0,1
90,0,2.23,1.8,0.57,0.0,0.0,12.0,15.0,3.0,8.0,1
91,0,1.9,1.4,0.45,0.0,0.0,13.0,16.0,3.0,6.0,1
92,0,1.7,1.25,0.4,0.0,0.0,11.0,14.0,3.0,6.0,1
93,0,2.36,1.8,0.57,0.0,0.0,9.0,13.0,4.0,6.0,1
94,0,2.8,1.62,0.52,0.0,0.0,10.0,14.0,4.0,8.5,1
95,0,1.8,1.3,0.41,0.0,0.0,7.0,9.0,2.0,3.8,1
96,0,2.4,1.67,0.53,0.0,0.0,8.0,11.0,3.0,5.0,1
97,0,2.38,1.8,0.57,0.0,0.0,9.0,12.0,3.0,5.2,1
98,0,2.8,1.27,0.4,0.0,0.0,8.0,12.0,4.0,5.4,1
99,0,2.4,1.48,0.47,0.0,0.0,8.0,12.0,4.0,6.0,1
100,0,1.36,1.2,0.38,0.0,0.0,8.0,13.0,5.0,6.0,1
101,2,2.0,0.0,0.04,0.05,0.23,2.0,5.0,3.0,4.5,8
102,0,1.16,1.06,0.34,0.0,0.0,4.0,5.5,1.5,2.0,1
103,1,1.7,0.0,0.1,0.12,0.5,2.0,5.0,3.0,4.0,11
104,1,1.54,0.0,0.19,0.34,0.87,2.0,5.0,3.0,4.0,4
105,1,1.62,0.0,0.13,0.23,0.58,2.0,5.5,3.5,4.0,6
106,1,2.13,2.1,0.67,0.0,0.0,5.0,8.0,3.0,5.0,1
107,2,1.97,0.0,0.07,0.18,0.25,3.8,5.5,1.7,7.0,7
108,2,2.0,0.0,0.05,0.17,0.17,0.38,3.0,2.62,5.5,11
109,2,2.29,0.0,0.1,0.25,0.36,3.8,7.2,3.4,6.5,9
110,0,2.3,1.3,0.41,0.0,0.0,10.0,14.0,4.0,4.0,1
111,0,2.07,1.5,0.48,0.0,0.0,9.0,13.0,4.0,3.5,1
112,0,2.3,1.7,0.54,0.0,0.0,12.0,15.0,3.0,5.0,1
113,2,1.42,0.0,0.07,0.15,0.3,2.0,4.5,2.5,3.0,7
114,2,0.95,0.0,0.08,0.18,0.3,2.0,4.5,2.5,3.0,3
115,0,0.65,1.5,0.48,0.0,0.0,8.0,14.0,6.0,6.0,1
116,0,1.36,1.04,0.33,0.0,0.0,5.0,8.5,3.5,6.0,1
117,0,2.02,1.86,0.59,0.0,0.0,7.0,15.0,8.0,6.0,1
118,0,1.2,0.84,0.27,0.0,0.0,6.0,13.0,7.0,6.0,1
119,0,1.56,1.4,0.45,0.0,0.0,7.0,13.0,6.0,6.0,1
120,0,0.78,0.7,0.22,0.0,0.0,5.2,8.0,2.8,6.0,1
121,0,2.0,1.51,0.48,0.0,0.0,8.5,15.0,6.5,7.0,1
122,0,1.32,1.07,0.34,0.0,0.0,7.0,10.0,3.0,7.0,1
123,0,1.31,1.07,0.34,0.0,0.0,4.0,7.0,3.0,6.0,1
124,0,1.24,1.22,0.39,0.0,0.0,10.0,14.0,4.0,7.0,1
125,0,1.23,1.3,0.41,0.0,0.0,12.0,16.0,4.0,7.0,1
126,1,0.98,0.6,0.19,0.0,0.0,2.5,8.0,5.5,7.0,1
127,2,1.4,0.0,0.06,0.17,0.22,3.5,5.0,1.5,5.0,9
128,2,1.38,0.0,0.06,0.17,0.2,2.8,4.5,1.7,3.0,9
129,2,1.7,0.0,0.06,0.17,0.2,2.5,4.0,1.5,3.5,7
130,2,1.55,0.0,0.08,0.23,0.26,4.0,5.5,1.5,4.0,5
131,2,2.43,0.0,0.06,0.18,0.2,4.0,6.0,2.0,5.0,12
132,2,2.1,0.0,0.06,0.15,0.2,2.5,5.0,2.5,6.0,12
133,2,0.79,0.0,0.07,0.17,0.25,2.0,4.0,2.0,3.5,3
134,1,2.3,0.0,0.19,0.53,0.67,2.0,12.0,10.0,10.0,3
135,2,1.01,0.0,0.07,0.17,0.24,1.7,4.0,2.3,4.0,3
136,2,0.88,0.0,0.09,0.25,0.3,3.0,6.0,3.0,3.5,3
137,0,0.59,0.5,0.16,0.0,0.0,2.0,4.5,2.5,2.0,1
138,0,1.73,1.32,0.42,0.0,0.0,6.0,10.0,4.0,5.0,1
139,0,1.83,0.0,0.82,1.13,4.0,4.0,8.5,4.5,6.0,2
140,0,1.3,0.91,0.29,0.0,0.0,6.5,9.0,2.5,6.0,1
141,0,2.2,1.68,0.53,0.0,0.0,9.0,15.0,6.0,8.0,1
142,2,1.72,0.0,0.08,0.23,0.29,2.3,5.5,3.2,4.0,6
143,2,1.16,0.0,0.06,0.15,0.21,1.7,3.5,1.8,3.0,3
144,2,1.6,0.0,0.08,0.24,0.29,2.0,4.5,2.5,5.0,11
145,2,3.15,0.0,0.08,0.2,0.31,2.5,6.5,4.0,6.0,11
146,0,2.36,1.74,0.55,0.0,0.0,8.0,12.0,4.0,6.0,1
147,0,1.87,1.39,0.44,0.0,0.0,8.0,12.0,4.0,6.0,1
148,0,0.96,0.72,0.23,0.0,0.0,4.5,8.0,3.5,5.0,1
149,2,2.2,0.0,0.07,0.16,0.3,2.5,5.0,2.5,6.0,12
150,2,2.39,0.0,0.07,0.14,0.28,2.2,5.5,3.3,4.0,13
151,2,3.01,0.0,0.06,0.16,0.24,2.2,6.0,3.8,4.0,12
152,2,1.13,0.0,0.09,0.17,0.38,2.5,4.5,2.0,6.0,5
153,2,1.55,0.0,0.11,0.3,0.4,3.0,5.5,2.5,6.0,4
154,2,2.3,0.0,0.1,0.28,0.37,3.3,6.0,2.7,4.0,4
155,2,2.0,0.0,0.07,0.19,0.24,2.0,4.5,2.5,3.5,12
156,2,2.67,0.0,0.07,0.19,0.26,2.0,6.0,4.0,4.0,12
157,1,1.2,0.0,0.22,0.64,0.73,2.0,6.0,4.0,7.0,2
158,1,0.99,0.0,0.17,0.47,0.61,3.0,5.5,2.5,4.5,3
159,1,1.04,0.0,0.19,0.35,0.82,2.5,6.0,3.5,7.0,2
160,1,1.32,1.22,0.39,0.0,0.0,5.0,9.0,4.0,8.0,1
161,1,1.69,0.0,0.14,0.35,0.54,2.5,5.0,2.5,3.0,7
162,0,2.24,1.27,0.4,0.0,0.0,7.0,9.0,2.0,4.0,1
163,0,1.86,1.29,0.41,0.0,0.0,7.0,9.0,2.0,4.5,1
164,0,2.53,1.59,0.51,0.0,0.0,7.0,9.0,2.0,5.0,1
165,0,2.19,1.4,0.45,0.0,0.0,7.0,12.0,5.0,4.0,1
166,1,0.68,0.38,0.12,0.0,0.0,2.0,6.0,4.0,9.0,1
167,1,0.6,0.0,0.09,0.28,0.3,1.5,3.0,1.5,2.5,2
168,1,0.5,0.36,0.11,0.0,0.0,3.5,10.0,6.5,4.5,1
169,1,0.6,0.0,0.1,0.22,0.38,7.0,10.0,3.0,6.0,2
170,1,0.78,0.0,0.08,0.24,0.29,3.5,5.5,2.0,4.5,2
171,1,0.7,0.55,0.18,0.0,0.0,3.8,11.5,7.7,8.9,1
172,2,2.56,0.0,0.08,0.21,0.28,5.5,7.3,1.8,4.8,6
173,2,2.13,0.0,0.07,0.17,0.27,5.8,7.2,1.4,8.5,11
174,2,2.24,0.0,0.07,0.17,0.25,5.4,7.3,1.9,5.8,10
175,2,1.32,0.0,0.09,0.19,0.35,4.2,6.4,2.2,3.6,6
176,2,2.14,0.0,0.07,0.18,0.26,2.5,3.0,0.5,3.0,7
177,2,0.23,0.25,0.08,0.0,0.0,3.7,5.7,2.0,2.8,1
178,2,2.97,0.0,0.06,0.15,0.23,3.7,7.1,3.4,3.9,15
179,2,1.6,0.0,0.08,0.2,0.28,3.4,5.5,2.1,3.87,5
180,2,2.3,0.0,0.07,0.18,0.23,4.2,5.4,1.2,4.9,8
181,2,1.23,0.0,0.06,0.17,0.2,3.3,4.9,1.6,2.4,2
182,2,0.55,0.0,0.07,0.2,0.22,3.3,6.2,2.9,4.9,2
183,2,2.07,0.0,0.06,0.15,0.2,4.6,6.9,2.3,4.7,10
184,2,2.33,0.0,0.08,0.18,0.3,2.6,4.3,1.7,4.0,3
185,1,0.53,0.32,0.1,0.0,0.0,2.6,5.0,2.4,3.5,1
186,1,0.82,0.58,0.18,0.0,0.0,5.4,7.8,2.4,6.3,1
187,1,1.08,0.0,0.15,0.43,0.52,4.5,9.0,4.5,5.7,3
188,1,0.2,0.15,0.05,0.0,0.0,1.7,2.3,0.6,2.5,1
189,1,0.77,0.0,0.08,0.24,0.28,3.8,7.2,3.4,4.3,2
190,1,0.98,0.0,0.1,0.25,0.4,3.1,5.2,2.1,2.6,2
191,1,0.62,0.38,0.12,0.0,0.0,4.8,5.9,1.1,5.2,1
192,1,1.05,0.0,0.13,0.33,0.46,4.8,6.5,1.7,5.6,3
193,1,0.77,0.0,0.1,0.28,0.34,5.5,8.2,2.7,3.7,3
194,1,1.1,0.0,0.16,0.4,0.58,5.3,7.5,2.2,6.7,3
195,1,0.9,0.0,0.13,0.41,0.43,4.8,6.7,1.9,4.5,2
